Indicador;Fonte;João Pessoa;Campina Grande;Queimadas;Conde;Caaporã;Pitimbu;Monteiro;Cabaceiras
IDHM do município – 2021;PNUD / Atlas Brasil;0,763;0,720;0,608;0,618;0,602;0,570;0,628;0,611
IDEB 2023 – Anos Iniciais (rede municipal);INEP / MEC;4,0;4,1;7,9;;;—*;N/D;N/D
IDEB 2023 – Anos Finais (rede municipal);INEP / MEC;3,7;3,9;5,8;;;;N/D;N/D
GINI – 2010 (último Censo com dado municipal);IBGE / Atlas Brasil;0,630;0,590;0,520;0,490;0,500;0,480;0,560;0,510
Remuneração média por trabalhador – 2024;CAGED / MTE – Paraíba: R$ 2.406 (média estadual);R$ 3.200;R$ 2.400;;;;;;
PIB per capita – 2021;IBGE / SEPLAG-PB;R$ 26.900;R$ 25.066;N/D;R$ 50.700;R$ 21.157;R$ 22.092;R$ 18.889;R$ 20.401
